date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,dias,peso_tiempo,peso_torneo,peso_total
2026-06-24,Mexico,Czech Republic,3.0,0.0,FIFA World Cup,Mexico City,Mexico,False,1,0.9980019986673331,1.5,1.4970029980009996
2026-06-18,Mexico,South Korea,1.0,0.0,FIFA World Cup,Zapopan,Mexico,False,7,0.9860975442628619,1.5,1.4791463163942928
2026-06-11,Mexico,South Africa,2.0,0.0,FIFA World Cup,Mexico City,Mexico,False,14,0.9723883668012469,1.5,1.4585825502018703
2026-06-04,Mexico,Serbia,5.0,1.0,Friendly,Toluca,Mexico,False,21,0.9588697805724845,0.75,0.7191523354293634
2026-05-30,Mexico,Australia,1.0,0.0,Friendly,Pasadena,United States,True,26,0.9493288668428895,0.75,0.7119966501321672
2026-05-22,Mexico,Ghana,2.0,0.0,Friendly,Puebla,Mexico,False,34,0.9342604735772135,0.75,0.7006953551829102
2026-03-31,Mexico,Belgium,1.0,1.0,Friendly,Chicago,United States,True,86,0.8419791731684999,0.75,0.631484379876375
2026-03-28,Mexico,Portugal,0.0,0.0,Friendly,Mexico City,Mexico,False,89,0.8369424234887681,0.75,0.6277068176165761
2026-02-25,Mexico,Iceland,4.0,0.0,Friendly,Querétaro,Mexico,False,120,0.7866278610665535,0.75,0.5899708957999151
2026-01-25,Bolivia,Mexico,0.0,1.0,Friendly,Santa Cruz,Bolivia,False,151,0.7393380648895319,0.75,0.5545035486671489
2026-01-22,Panama,Mexico,0.0,1.0,Friendly,Panama City,Panama,False,154,0.7349153180090687,0.75,0.5511864885068015
2025-11-18,Mexico,Paraguay,1.0,2.0,Friendly,San Antonio,United States,True,219,0.6453257828572946,0.75,0.4839943371429709
2025-11-15,Mexico,Uruguay,0.0,0.0,Friendly,Torreón,Mexico,False,222,0.6414654208273198,0.75,0.4810990656204899
2025-10-14,Mexico,Ecuador,1.0,1.0,Friendly,Zapopan,Mexico,False,254,0.6016977717621094,0.75,0.451273328821582
2025-10-11,Mexico,Colombia,0.0,4.0,Friendly,Arlington,United States,True,257,0.5980983940627613,0.75,0.448573795547071
2025-09-09,Mexico,South Korea,2.0,2.0,Friendly,Nashville,United States,True,289,0.5610192838421706,0.75,0.42076446288162794
2025-09-06,Mexico,Japan,0.0,0.0,Friendly,Oakland,United States,True,292,0.5576632463197913,0.75,0.41824743473984344
2025-07-06,United States,Mexico,1.0,2.0,Gold Cup,Houston,United States,False,354,0.49262846980013547,1.15,0.5665227402701557
2025-07-02,Mexico,Honduras,1.0,0.0,Gold Cup,Santa Clara,United States,True,358,0.4887031641990795,1.15,0.5620086388289414
2025-06-28,Mexico,Saudi Arabia,2.0,0.0,Gold Cup,Glendale,United States,True,362,0.48480913576734325,1.15,0.5575305061324447
2025-06-22,Mexico,Costa Rica,0.0,0.0,Gold Cup,Paradise,United States,True,368,0.4790261931887511,1.15,0.5508801221670637
2025-06-18,Suriname,Mexico,0.0,2.0,Gold Cup,Arlington,United States,True,372,0.47520927168614446,1.15,0.5464906624390661
2025-06-14,Mexico,Dominican Republic,3.0,2.0,Gold Cup,Inglewood,United States,True,376,0.4714227637391309,1.15,0.5421361783000005
2025-06-10,Mexico,Turkey,1.0,0.0,Friendly,Chapel Hill,United States,True,380,0.46766642700990924,0.75,0.35074982025743195
2025-06-07,Mexico,Switzerland,2.0,4.0,Friendly,Salt Lake City,United States,True,383,0.46486882963276827,0.75,0.3486516222245762
2025-03-23,Panama,Mexico,1.0,2.0,CONCACAF Nations League,Inglewood,United States,True,459,0.3993168767363899,1.1,0.4392485644100289
2025-03-20,Canada,Mexico,0.0,2.0,CONCACAF Nations League,Inglewood,United States,True,462,0.39692814882588245,1.1,0.43662096370847076
2024-11-19,Mexico,Honduras,4.0,0.0,CONCACAF Nations League,Toluca,Mexico,False,583,0.31161089527997105,1.1,0.34277198480796817
2024-11-15,Honduras,Mexico,2.0,0.0,CONCACAF Nations League,San Pedro Sula,Honduras,False,587,0.30912795312868047,1.1,0.3400407484415485
2024-10-15,Mexico,United States,2.0,0.0,Friendly,Zapopan,Mexico,False,618,0.2905440729744046,0.75,0.21790805473080344
2026-06-24,South Africa,South Korea,1.0,0.0,FIFA World Cup,Guadalupe,Mexico,True,1,0.9980019986673331,1.5,1.4970029980009996
2026-06-18,Czech Republic,South Africa,1.0,1.0,FIFA World Cup,Atlanta,United States,True,7,0.9860975442628619,1.5,1.4791463163942928
2026-06-06,Jamaica,South Africa,0.0,1.0,Friendly,Pachuca,Mexico,True,19,0.9627129408911995,0.75,0.7220347056683997
2026-05-29,South Africa,Nicaragua,0.0,0.0,Friendly,Johannesburg,South Africa,False,27,0.9474321065017983,0.75,0.7105740798763487
2026-03-31,South Africa,Panama,1.0,2.0,Friendly,Cape Town,South Africa,False,86,0.8419791731684999,0.75,0.631484379876375
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False,90,0.835270211411272,0.75,0.626452658558454
2026-01-04,South Africa,Cameroon,1.0,2.0,African Cup of Nations,Rabat,Morocco,True,172,0.7089289280495107,1.1,0.7798218208544618
2025-12-29,Zimbabwe,South Africa,2.0,3.0,African Cup of Nations,Marrakesh,Morocco,True,178,0.7004726202352524,1.1,0.7705198822587777
2025-12-26,Egypt,South Africa,1.0,0.0,African Cup of Nations,Agadir,Morocco,True,181,0.696282367841771,1.1,0.7659106046259482
2025-12-22,South Africa,Angola,2.0,1.0,African Cup of Nations,Marrakesh,Morocco,True,185,0.6907343306373547,1.1,0.7598077637010902
2025-11-15,South Africa,Zambia,3.0,1.0,Friendly,Gqeberha,South Africa,False,222,0.6414654208273198,0.75,0.4810990656204899
2025-10-14,South Africa,Rwanda,3.0,0.0,FIFA World Cup qualification,Mbombela,South Africa,False,254,0.6016977717621094,1.5,0.902546657643164
2025-10-10,South Africa,Zimbabwe,0.0,0.0,FIFA World Cup qualification,Durban,South Africa,False,258,0.596903392674358,1.5,0.8953550890115369
2025-09-09,South Africa,Nigeria,1.0,1.0,FIFA World Cup qualification,Bloemfontein,South Africa,False,289,0.5610192838421706,1.5,0.8415289257632559
2025-09-05,South Africa,Lesotho,3.0,0.0,FIFA World Cup qualification,Bloemfontein,South Africa,False,293,0.5565490344104649,1.5,0.8348235516156973
2025-06-10,South Africa,Mozambique,2.0,0.0,Friendly,Polokwane,South Africa,False,380,0.46766642700990924,0.75,0.35074982025743195
2025-06-06,South Africa,Tanzania,0.0,0.0,Friendly,Polokwane,South Africa,False,384,0.4639400210916467,0.75,0.34795501581873506
2025-03-25,Benin,South Africa,0.0,2.0,FIFA World Cup qualification,Abidjan,Ivory Coast,True,457,0.4009173430419921,1.5,0.6013760145629882
2025-03-21,South Africa,Lesotho,0.0,3.0,FIFA World Cup qualification,Polokwane,South Africa,False,461,0.39772279950933415,1.5,0.5965841992640012
2024-11-19,South Africa,South Sudan,3.0,0.0,African Cup of Nations qualification,Cape Town,South Africa,False,583,0.31161089527997105,1.25,0.3895136190999638
2024-11-15,Uganda,South Africa,0.0,2.0,African Cup of Nations qualification,Kampala,Uganda,False,587,0.30912795312868047,1.25,0.3864099414108506
2024-10-15,Congo,South Africa,1.0,1.0,African Cup of Nations qualification,Brazzaville,Congo,False,618,0.2905440729744046,1.25,0.36318009121800576
2024-10-11,South Africa,Congo,5.0,0.0,African Cup of Nations qualification,Gqeberha,South Africa,False,622,0.2882289930573573,1.25,0.3602862413216966
2024-09-10,South Sudan,South Africa,2.0,3.0,African Cup of Nations qualification,Juba,South Sudan,False,653,0.27090149805163766,1.25,0.33862687256454704
2024-09-06,South Africa,Uganda,2.0,2.0,African Cup of Nations qualification,Johannesburg,South Africa,False,657,0.26874293184439435,1.25,0.33592866480549294
2024-06-11,South Africa,Zimbabwe,3.0,1.0,FIFA World Cup qualification,Bloemfontein,South Africa,False,744,0.22582385189647586,1.5,0.33873577784471376
2024-06-07,Nigeria,South Africa,1.0,1.0,FIFA World Cup qualification,Uyo,Nigeria,False,748,0.22402446821274175,1.5,0.33603670231911265
2024-03-26,Algeria,South Africa,3.0,3.0,FIFA Series,Algiers,Algeria,False,821,0.1935924699078839,0.75,0.14519435243091292
2024-03-21,South Africa,Andorra,1.0,1.0,FIFA Series,Annaba,Algeria,True,826,0.19166619264739126,0.75,0.14374964448554345
2026-06-11,South Korea,Czech Republic,2.0,1.0,FIFA World Cup,Zapopan,Mexico,True,14,0.9723883668012469,1.5,1.4585825502018703
2026-06-03,South Korea,El Salvador,1.0,0.0,Friendly,Provo,United States,True,22,0.9569539574730467,0.75,0.717715468104785
2026-05-30,South Korea,Trinidad and Tobago,5.0,0.0,Friendly,Provo,United States,True,26,0.9493288668428895,0.75,0.7119966501321672
2026-03-31,Austria,South Korea,1.0,0.0,Friendly,Vienna,Austria,False,86,0.8419791731684999,0.75,0.631484379876375
2026-03-28,Ivory Coast,South Korea,4.0,0.0,Friendly,Milton Keynes,England,True,89,0.8369424234887681,0.75,0.6277068176165761
2025-11-18,South Korea,Ghana,1.0,0.0,Friendly,Seoul,South Korea,False,219,0.6453257828572946,0.75,0.4839943371429709
2025-11-14,South Korea,Bolivia,2.0,0.0,Friendly,Daejeon,South Korea,False,223,0.6401837720616471,0.75,0.48013782904623536
2025-10-14,South Korea,Paraguay,2.0,0.0,Friendly,Seoul,South Korea,False,254,0.6016977717621094,0.75,0.451273328821582
2025-10-10,South Korea,Brazil,0.0,5.0,Friendly,Seoul,South Korea,False,258,0.596903392674358,0.75,0.44767754450576847
2025-09-06,United States,South Korea,0.0,2.0,Friendly,Harrison,United States,False,292,0.5576632463197913,0.75,0.41824743473984344
2025-06-10,South Korea,Kuwait,4.0,0.0,FIFA World Cup qualification,Seoul,South Korea,False,380,0.46766642700990924,1.5,0.7014996405148639
2025-06-05,Iraq,South Korea,0.0,2.0,FIFA World Cup qualification,Basra,Iraq,False,385,0.46301306831122807,1.5,0.6945196024668421
2025-03-25,South Korea,Jordan,1.0,1.0,FIFA World Cup qualification,Suwon,South Korea,False,457,0.4009173430419921,1.5,0.6013760145629882
2025-03-20,South Korea,Oman,1.0,1.0,FIFA World Cup qualification,Goyang,South Korea,False,462,0.39692814882588245,1.5,0.5953922232388237
2024-11-19,Palestine,South Korea,1.0,1.0,FIFA World Cup qualification,Amman,Jordan,True,583,0.31161089527997105,1.5,0.4674163429199566
2024-11-14,Kuwait,South Korea,1.0,3.0,FIFA World Cup qualification,Kuwait City,Kuwait,False,588,0.3085103150663647,1.5,0.4627654725995471
2024-10-15,South Korea,Iraq,3.0,2.0,FIFA World Cup qualification,Yongin,South Korea,False,618,0.2905440729744046,1.5,0.43581610946160687
2024-10-10,Jordan,South Korea,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,False,623,0.2876531111451154,1.5,0.43147966671767307
2024-09-10,Oman,South Korea,1.0,3.0,FIFA World Cup qualification,Muscat,Oman,False,653,0.27090149805163766,1.5,0.4063522470774565
