equipo,ataque,defensa,diferencia_goles,forma_5,forma_10,forma_30,puntos_ponderados,victorias,empates,derrotas,elo
Morocco,2.0688040234221377,0.40369477196446296,1.6651092514576746,0.7333333333333334,0.7333333333333334,0.8666666666666667,0.849687165775083,0.8,0.2,0.0,1533.1807497534903
Argentina,2.256919900056678,0.351264856133007,1.905655043923671,1.0,0.9,0.8333333333333334,0.832936926491329,0.8,0.1,0.1,1521.9490613484838
Norway,3.2388243008809687,0.9688344683986494,2.2699898324823193,0.7333333333333334,0.7000000000000001,0.7000000000000001,0.8086651437333933,0.6333333333333333,0.2,0.16666666666666666,1510.163861914354
Spain,2.595481477295646,0.674320155384142,1.921161321911504,0.6,0.7333333333333334,0.8125,0.7859032322605503,0.71875,0.28125,0.0,1536.6853852599268
England,2.1544170235392626,0.48988256680246856,1.664534456736794,0.6666666666666666,0.7666666666666666,0.71875,0.7760068732017008,0.65625,0.1875,0.15625,1506.030399998444
France,2.289047237432586,0.8637898605657349,1.4252573768668513,0.7999999999999999,0.8333333333333334,0.7000000000000001,0.7757909190617681,0.6333333333333333,0.2,0.16666666666666666,1527.7996380372463
Algeria,2.1307244694819825,0.7682704247063742,1.3624540447756082,0.6666666666666666,0.7333333333333334,0.7741935483870969,0.7676258346317829,0.7096774193548387,0.1935483870967742,0.0967741935483871,1512.335719888052
Mexico,1.6654139914811612,0.5672019952139232,1.098211996267238,1.0,0.8666666666666667,0.6571428571428571,0.7573159515466861,0.5714285714285714,0.2571428571428571,0.17142857142857143,1539.532348211201
Germany,2.7101388463875975,1.0023507118214365,1.707788134566161,0.7999999999999999,0.9,0.6989247311827956,0.7374017292043833,0.6451612903225806,0.16129032258064516,0.1935483870967742,1522.9345058650842
Ivory Coast,1.7879647119968727,0.5273271437443493,1.2606375682525233,0.7999999999999999,0.7333333333333334,0.7204301075268816,0.7283947080235972,0.6774193548387096,0.12903225806451613,0.1935483870967742,1514.5729345705533
Japan,2.3229853579655106,0.6087293510327096,1.714256006932801,0.7333333333333334,0.7999999999999999,0.7333333333333334,0.7099833214085033,0.6666666666666666,0.2,0.13333333333333333,1515.7373839925717
Portugal,2.5571550564459997,0.9054377083811515,1.6517173480648482,0.8666666666666667,0.7000000000000001,0.7083333333333334,0.7061250328856485,0.625,0.25,0.125,1530.8933522753282
Netherlands,2.709806341674908,0.9847864341875104,1.7250199074873973,0.6666666666666666,0.7000000000000001,0.6559139784946236,0.6996753456948034,0.5483870967741935,0.3225806451612903,0.12903225806451613,1519.5693601990547
Austria,2.208041886428307,0.828874416383238,1.379167470045069,0.7999999999999999,0.7333333333333334,0.688888888888889,0.6839523376827362,0.6333333333333333,0.16666666666666666,0.2,1520.0611821788216
Colombia,2.0339451969093787,0.9497877922015171,1.0841574047078617,0.7999999999999999,0.7333333333333334,0.6451612903225806,0.6623940046432101,0.5806451612903226,0.1935483870967742,0.22580645161290322,1523.9192918832296
Croatia,2.048318616672112,1.1706691314896063,0.8776494851825059,0.39999999999999997,0.6333333333333333,0.6333333333333333,0.6621533815785989,0.5666666666666667,0.2,0.23333333333333334,1497.4516351377385
Turkey,1.8439787323009627,1.3119301501005807,0.532048582200382,0.6,0.7333333333333334,0.6236559139784946,0.658644163374498,0.5806451612903226,0.12903225806451613,0.2903225806451613,1484.3333021211865
Brazil,2.0018407264698412,0.8344874617823685,1.1673532646874727,0.8666666666666667,0.6666666666666666,0.611111111111111,0.6559378739041205,0.5,0.3333333333333333,0.16666666666666666,1537.88466733725
Senegal,2.037880263708462,0.9665879818821241,1.071292281826338,0.26666666666666666,0.5333333333333333,0.7096774193548386,0.6536360714808016,0.6451612903225806,0.1935483870967742,0.16129032258064516,1484.769903083539
Egypt,1.4608145451376675,0.6820910130243821,0.7787235321132854,0.5333333333333333,0.6,0.6176470588235294,0.6483911926138046,0.5,0.35294117647058826,0.14705882352941177,1507.3739150021404
Switzerland,2.131879554958175,0.9892284837260332,1.1426510712321418,0.7333333333333334,0.5666666666666667,0.5666666666666667,0.6384739040922698,0.43333333333333335,0.4,0.16666666666666666,1526.992146264913
Iran,1.771314189018074,0.7856036051746303,0.9857105838434436,0.7333333333333334,0.5333333333333333,0.688888888888889,0.625591438822085,0.6,0.26666666666666666,0.13333333333333333,1499.284339745049
DR Congo,1.1881092332110248,0.6198386785210307,0.5682705546899941,0.3333333333333333,0.5,0.6333333333333333,0.6089827658243877,0.5666666666666667,0.2,0.23333333333333334,1482.5615430202452
South Korea,1.5653685334290128,0.8922763877434358,0.6730921456855771,0.6,0.6,0.6444444444444445,0.5949869031859278,0.5666666666666667,0.23333333333333334,0.2,1500.410991821047
Belgium,2.3716239758140274,0.8181620191191987,1.5534619566948287,0.6,0.6666666666666666,0.5444444444444444,0.5876020254270374,0.43333333333333335,0.3333333333333333,0.23333333333333334,1507.513180671128
Australia,1.4463387135466834,0.7300195301448676,0.7163191834018158,0.3333333333333333,0.3666666666666667,0.611111111111111,0.5868548001915119,0.5333333333333333,0.23333333333333334,0.23333333333333334,1509.020018341577
South Africa,1.363479155407883,0.867876930425067,0.4956022249828159,0.5333333333333333,0.39999999999999997,0.5729166666666666,0.5586709673302649,0.4375,0.40625,0.15625,1491.0118503289282
