marcador,probabilidad
1-1,0.11698
1-2,0.0858
0-1,0.08136
2-1,0.08126
1-0,0.07783
2-2,0.06234
0-2,0.05967
2-0,0.05515
0-0,0.05462
1-3,0.0431
3-1,0.03797
2-3,0.03006
0-3,0.02992
3-2,0.02801
3-0,0.02516
1-4,0.01664
3-3,0.01396
4-1,0.01302
0-4,0.01162
2-4,0.01134
4-2,0.01052
4-0,0.00891
4-3,0.00509
3-4,0.00501
1-5,0.00453
5-1,0.00361
0-5,0.00347
2-5,0.00331
5-2,0.0031
5-0,0.00248
4-4,0.00201
3-5,0.00161
5-3,0.00147
1-6,0.00124
6-1,0.00104
0-6,0.00082
2-6,0.00082
6-2,0.00069
6-0,0.00064
4-5,0.00058
5-4,0.00053
3-6,0.00039
6-3,0.00031
1-7,0.00028
7-2,0.00021
0-7,0.00021
2-7,0.00016
5-5,0.00015
7-1,0.00015
6-4,0.00014
4-6,9e-05
7-0,9e-05
3-7,7e-05
5-6,6e-05
1-8,5e-05
7-3,5e-05
2-8,5e-05
8-1,4e-05
7-4,4e-05
6-5,3e-05
8-2,2e-05
3-8,2e-05
4-7,2e-05
8-0,2e-05
0-8,2e-05
8-3,1e-05
6-6,1e-05
0-9,1e-05
7-5,1e-05
