fecha,goles_local,goles_visitante,lambda_local,lambda_visitante,p_local,p_empate,p_visitante,real,pred,correcto
2025-12-26,1.0,1.0,2.4619998931884766,0.05,0.8902,0.093,0.0036,1,0,False
2025-12-26,1.0,0.0,0.9470000267028809,1.7549999952316284,0.1927,0.2522,0.5528,0,2,False
2025-12-27,1.0,1.0,1.5299999713897705,0.6990000009536743,0.5625,0.2758,0.1607,1,0,False
2025-12-27,3.0,2.0,0.9940000176429749,3.4010000228881836,0.0673,0.1124,0.7622,0,2,False
2025-12-28,1.0,0.0,2.187999963760376,0.4020000100135803,0.7759,0.1676,0.0493,0,0,True
2025-12-28,1.0,1.0,1.8009999990463257,0.09399999678134918,0.8024,0.181,0.0141,1,0,False
2025-12-29,0.0,0.0,0.5799999833106995,1.7990000247955322,0.1056,0.2331,0.6588,1,2,False
2025-12-29,2.0,3.0,0.9290000200271606,1.2410000562667847,0.2664,0.3101,0.4231,2,1,False
2025-12-29,3.0,0.0,2.4619998931884766,0.05,0.8902,0.093,0.0036,0,0,True
2025-12-30,1.0,1.0,0.8140000104904175,3.627000093460083,0.0419,0.088,0.7946,1,2,False
2025-12-30,0.0,3.0,0.5559999942779541,1.6749999523162842,0.111,0.2493,0.6379,2,2,True
2025-12-30,0.0,3.0,0.6230000257492065,3.0299999713897705,0.044,0.1112,0.8098,2,2,True
2025-12-31,1.0,3.0,0.6679999828338623,3.071000099182129,0.0472,0.1119,0.8037,2,2,True
2025-12-31,2.0,3.0,0.5680000185966492,2.990000009536743,0.0399,0.1095,0.8176,2,2,True
2026-01-03,3.0,1.0,2.2699999809265137,0.13199999928474426,0.8547,0.124,0.0125,0,0,True
2026-01-03,1.0,1.0,1.1799999475479126,2.243000030517578,0.1833,0.2098,0.5985,1,2,False
2026-01-04,1.0,2.0,1.3509999513626099,0.652999997138977,0.5268,0.3017,0.1709,2,1,False
2026-01-04,1.0,0.0,2.568000078201294,0.05,0.8965,0.0841,0.0032,0,0,True
2026-01-05,3.0,1.0,1.184000015258789,0.6230000257492065,0.4861,0.3288,0.1849,0,1,False
2026-01-06,1.0,0.0,1.5889999866485596,0.6119999885559082,0.6016,0.2647,0.1324,0,0,True
2026-01-06,3.0,0.0,2.0329999923706055,0.21899999678134918,0.8023,0.1649,0.0279,0,0,True
2026-01-09,0.0,1.0,0.6190000176429749,3.7839999198913574,0.0242,0.0674,0.8191,2,2,True
2026-01-09,2.0,0.0,2.568000078201294,0.05,0.8965,0.0841,0.0032,0,0,True
2026-01-10,3.0,2.0,0.4779999852180481,1.4559999704360962,0.1124,0.2803,0.6065,0,2,False
2026-01-10,0.0,2.0,1.9190000295639038,0.37700000405311584,0.7389,0.1995,0.0579,2,0,False
2026-01-14,0.0,0.0,2.568000078201294,0.05,0.8965,0.0841,0.0032,1,0,False
2026-01-14,1.0,0.0,1.36899995803833,0.9309999942779541,0.459,0.2955,0.2449,0,0,True
2026-01-17,0.0,0.0,1.184000015258789,0.6230000257492065,0.4861,0.3288,0.1849,1,1,True
2026-01-18,3.0,0.0,2.2300000190734863,1.4450000524520874,0.5387,0.2149,0.2376,0,0,True
2026-01-18,1.0,1.0,1.2200000286102295,1.218000054359436,0.3529,0.2949,0.3517,1,0,False
2026-01-22,0.0,1.0,0.9169999957084656,1.5520000457763672,0.2129,0.2747,0.5112,2,2,True
2026-01-25,0.0,1.0,0.6110000014305115,1.406000018119812,0.1524,0.2926,0.5543,2,2,True
2026-01-26,2.0,2.0,1.7109999656677246,0.6349999904632568,0.6242,0.2483,0.1255,1,0,False
2026-02-25,4.0,0.0,1.7450000047683716,0.4959999918937683,0.6708,0.235,0.092,0,0,True
2026-03-25,0.0,2.0,0.38600000739097595,1.7009999752044678,0.0718,0.2328,0.6935,2,2,True
2026-03-26,1.0,0.0,3.7639999389648438,0.2770000100135803,0.8607,0.0443,0.0075,0,0,True
2026-03-26,2.0,2.0,4.861000061035156,0.21799999475479126,0.7645,0.0158,0.0019,1,0,False
2026-03-26,1.0,2.0,1.0449999570846558,1.5950000286102295,0.239,0.2691,0.4905,2,2,True
